0.00;1.00
1.00;4.00
2.00;6.00
3.00;8.00
4.00;10.00
5.00;11.00
6.00;15.00
7.00;16.00
8.00;17.00
9.00;21.00
10.00;22.00
11.00;24.00
12.00;26.00
13.00;28.00
14.00;30.00
15.00;32.00
16.00;32.00
17.00;38.00
18.00;37.00
19.00;41.00
20.00;38.00
21.00;47.00
22.00;47.00
23.00;48.00
24.00;49.00
25.00;51.00
26.00;56.00
27.00;56.00
28.00;58.00
29.00;60.00
30.00;60.00
31.00;66.00
32.00;65.00
33.00;69.00
34.00;70.00
35.00;71.00
36.00;73.00
37.00;78.00
38.00;78.00
39.00;80.00
40.00;82.00
41.00;83.00
42.00;87.00
43.00;88.00
44.00;89.00
45.00;93.00
46.00;94.00
47.00;96.00
48.00;97.00
49.00;100.00
50.00;102.00
51.00;104.00
52.00;107.00
53.00;108.00
54.00;110.00
55.00;111.00
56.00;115.00
57.00;116.00
58.00;118.00
59.00;120.00
60.00;122.00
61.00;124.00
62.00;126.00
63.00;128.00
64.00;130.00
65.00;132.00
66.00;134.00
67.00;136.00
68.00;137.00
69.00;141.00
70.00;142.00
71.00;143.00
72.00;144.00
73.00;151.00
74.00;150.00
75.00;151.00
76.00;155.00
77.00;156.00
78.00;158.00
79.00;160.00
80.00;162.00
81.00;163.00
82.00;167.00
83.00;167.00
84.00;171.00
85.00;170.00
86.00;176.00
87.00;176.00
88.00;177.00
89.00;181.00
90.00;181.00
91.00;184.00
92.00;187.00
93.00;188.00
94.00;190.00
95.00;192.00
96.00;194.00
97.00;193.00
98.00;199.00
99.00;202.00
100.00;202.00
101.00;203.00
102.00;206.00
103.00;208.00
104.00;211.00
105.00;212.00
106.00;214.00
107.00;216.00
108.00;218.00
109.00;220.00
110.00;221.00
111.00;225.00
112.00;226.00
113.00;228.00
114.00;230.00
115.00;229.00
116.00;237.00
117.00;236.00
118.00;238.00
119.00;239.00
120.00;243.00
121.00;244.00
122.00;246.00
123.00;247.00
124.00;251.00
125.00;252.00
126.00;254.00
127.00;256.00
128.00;256.00
129.00;262.00
130.00;258.00
131.00;267.00
132.00;267.00
133.00;268.00
134.00;270.00
